code,course,category,men,women
2419,PETROLEUM ENGINEERING,Engineering,2057,282
2416,MINING AND MINERAL ENGINEERING,Engineering,679,77
2415,METALLURGICAL ENGINEERING,Engineering,725,131
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1123,135
2418,NUCLEAR ENGINEERING,Engineering,2200,373
2405,CHEMICAL ENGINEERING,Engineering,21239,11021
5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,832,960
2414,MECHANICAL ENGINEERING,Engineering,80320,10907
2401,AEROSPACE ENGINEERING,Engineering,12953,2105
2408,ELECTRICAL ENGINEERING,Engineering,65511,16016
2407,COMPUTER ENGINEERING,Engineering,33258,8284
5008,MATERIALS SCIENCE,Engineering,2949,1330
2404,BIOMEDICAL ENGINEERING,Engineering,8407,6548
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,3526,795
2402,BIOLOGICAL ENGINEERING,Engineering,6062,2863
2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,12453,6515
2400,GENERAL ENGINEERING,Engineering,45683,15469
2403,ARCHITECTURAL ENGINEERING,Engineering,1835,990
2102,COMPUTER SCIENCE,Computers & Mathematics,99743,28576
2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,8181,3384
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2020,973
2499,MISCELLANEOUS ENGINEERING,Engineering,7398,1735
2406,CIVIL ENGINEERING,Engineering,41081,12072
2500,ENGINEERING TECHNOLOGIES,Engineering,2695,905
2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,488,232
2410,ENVIRONMENTAL ENGINEERING,Engineering,2662,1385
6107,NURSING,Health,21773,187621
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,3477,1154
5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,528,1588
2105,INFORMATION SCIENCES,Computers & Mathematics,9005,2908
2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,27392,9306
5007,PHYSICS,Physical Sciences,23080,9062
3701,APPLIED MATHEMATICS,Computers & Mathematics,2794,2145
3700,MATHEMATICS,Computers & Mathematics,39956,32441
3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,2960,3291
3607,PHARMACOLOGY,Biology & Life Science,515,1247
6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,3916,11998
5006,OCEANOGRAPHY,Physical Sciences,752,1666
2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2400,506
4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,500,109
6104,MEDICAL ASSISTING SERVICES,Health,803,10320
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,3046,1122
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,1667,2164
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4419,371
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,7043,1761
5000,PHYSICAL SCIENCES,Physical Sciences,894,542
1401,ARCHITECTURE,Engineering,25463,20957
3605,GENETICS,Biology & Life Science,1761,1874
3603,MOLECULAR BIOLOGY,Biology & Life Science,7426,10874
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,8697,14854
5003,CHEMISTRY,Physical Sciences,32923,33607
3606,MICROBIOLOGY,Biology & Life Science,6383,8849
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,6607,1459
3601,BIOCHEMICAL SCIENCES,Biology & Life Science,18951,20156
3602,BOTANY,Biology & Life Science,626,703
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,5291,2322
5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,5813,5159
5005,GEOSCIENCES,Physical Sciences,809,1169
6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,1589,11797
1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,10787,15178
5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,2744,1299
2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,11431,6604
5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,27015,35037
3608,PHYSIOLOGY,Biology & Life Science,8422,13638
3611,NEUROSCIENCE,Biology & Life Science,4944,8719
6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,4266,13843
4002,NUTRITION SCIENCES,Health,2563,16346
6110,COMMUNITY AND PUBLIC HEALTH,Health,4103,15632
3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,4747,5959
6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,5521,7219
3600,BIOLOGY,Biology & Life Science,111762,168947
3604,ECOLOGY,Biology & Life Science,3878,5276
6109,TREATMENT THERAPY PROFESSIONS,Health,13487,35004
6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,7574,26025
6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,1225,37054
3609,ZOOLOGY,Biology & Life Science,3050,5359
